,Species,RMS,SpectralFlux,Entropy,Flatness,SpectCentroid,Contrast1,Contrast2,Contrast3,Contrast4
0,Corvus_brachyrhynchos,1.037772547053129,-0.9772962331771851,10.486478823444207,-4.564197540283203,7.882590413688939,3.0093488238349835,2.555322610901047,2.8078623989906664,4.077436253525047
1,Corvus_corone,1.0192536532806602,-1.2493297338485718,10.323036960854106,-4.660457134246826,7.732543393132593,3.329738013419908,2.449118469217018,2.6999199103327784,4.122971322670579
2,Cyanocitta_cristata,1.1356005897939574,-0.9916318207979202,8.914962436600863,-3.968944549560547,8.134387078861266,2.927705511531269,2.481222839874345,3.015307407419197,4.110548807364031
3,Lanius_ludovicianus,2.181420614047542,-0.15577158828576407,9.303510384100507,-3.2444244225819907,8.3645095535329,2.7308290050159645,2.2651497960624014,2.6580844458776896,4.071258122241392
4,Oriolus_oriolus,1.7209514621720468,-0.8404932717482249,8.688860922236593,-5.60780914624532,7.963152722638415,2.854870103170905,2.4975180862357775,3.029485712320861,4.18800361631
5,Bombycilla_cedrorum,0.8170591943075748,-1.1020893851915996,7.919795498243363,-3.872135321299235,8.797268210007907,2.8577666555965062,2.278517079184626,2.446286084350825,4.114918849452514
6,Bombycilla_garrulus,0.8837721228918398,-0.48765083650747937,9.759865394173444,-4.118729472160339,8.727621636717174,3.158768986786883,2.1792311780200175,2.453756659926538,4.104555850180281
7,Icterus_spurius,1.2089369411604058,-0.5278080503145853,12.372580072590951,-5.217130184173584,8.242456403933605,2.780220880426038,2.2652023242471526,2.63072843802315,4.164888601506228
8,Troglodytes_aedon,1.3080373254147635,-0.30520420521497726,13.074565330059613,-4.382951021194458,8.312095883895973,2.821424154993885,2.3182515360983267,2.5280158195111495,4.100278793547758
9,Troglodytes_troglodytes,1.1499199976813883,-0.45061013102531433,12.988952845628583,-5.8668106396993,8.549948907168018,2.9808504535395355,2.204131746147958,2.559264226232933,4.1548911433117794
10,Sitta_europaea,1.1164428039548397,-0.49654335776964825,9.563380059226269,-4.923147638638814,8.069339400067037,3.1170110009442156,2.260751160149541,2.6786343410867772,4.192608048484129
11,Cinclus_cinclus,1.623235505958917,-0.43486857414245605,12.02963240254036,-3.8823562065760293,8.23700738118071,3.069159499743151,2.3575535182311707,2.5545753103038713,4.119889710239387
12,Carduelis_tristis,1.0955528658002864,-0.6149449944496155,12.525545541099794,-4.615767161051433,8.40869123766693,2.8498312083839816,2.2042489749147243,2.4049238751522863,4.108983504502835
13,Carduelis_carduelis,1.2028227270559422,-0.4144754707813263,11.632845306870207,-5.8742367426554365,8.28484416944889,3.0275791619903356,2.301988572086423,2.494386632404819,4.179221866355354
14,Carpodacus_mexicanus,1.0810238062363118,-0.4359160562356313,12.128095623528273,-4.914616584777832,8.190865867306348,3.1542718817198754,2.2488807576412753,2.4451258883015434,4.149884515148419
15,Carpodacus_erythrinus,1.0864757220468992,-0.4937232583761215,10.677349048145468,-5.295194546381633,8.292865562449624,2.9107384492676225,2.173346015781201,2.839851947555515,4.209065151634803
16,Coccothraustes_vespertinus,1.2317453457882903,-0.5045887430508932,8.543677334529805,-4.105247735977173,8.159310296372537,2.874455494058813,2.29643453678241,2.5296318947350014,4.1378087566053665
17,Coccothraustes_coccothraustes,1.1006176849309728,-0.6214910050233206,6.786646025032543,-5.387371341387431,8.696056499436569,2.66300638246821,2.587538242427311,2.4713932816263546,3.982518878274075
18,Cecropis_daurica,1.070261012219388,-1.1457963784535725,9.197760442701975,-3.4460771878560386,8.266081266373995,3.169815783757169,2.2258081224569257,2.606248659663272,4.105087200923559
19,Petrochelidon_pyrrhonota,1.1866452128762321,-0.49345865845680237,13.721977702585018,-3.5523985624313354,8.32073782119749,2.9619058551013406,2.3353068178421346,2.641872282619652,4.073610750180595
20,Poecile_atricapillus,0.7021717850009419,-1.7353741824626923,7.833807574808771,-4.278568148612976,8.236787262792218,3.0276237714821006,2.228815673952977,2.426374018862995,4.172545480427972
21,Poecile_palustris,1.55899768269137,-0.21816262354453406,10.952220483943377,-4.427196900049846,8.350552106917084,2.9750754416959775,2.2092528385109578,2.4519191685837165,4.148242202305671
22,Garrulus_glandarius,1.1030112789699784,-0.9095932443936666,9.594989523871268,-3.3417516549428306,8.078346138831145,3.137247122486746,2.4770680946154986,2.551106796132044,4.1170505385628005
23,Sitta_carolinensis,1.072915774746238,-0.7881214022636414,8.981990642255733,-4.987468361854553,7.81279780889014,3.0870483352224394,2.587386417238636,3.1302089580596997,4.142280688752975
24,Turdus_migratorius,1.4064406438594046,-0.4971012125412623,10.175137736507159,-5.457658449808757,8.022575601436964,2.774630457065475,2.451051635553095,2.632110456188578,4.210087191740368
25,Turdus_merula,1.214735362893573,-0.7386311988035837,10.714762263699606,-4.982028007507324,8.091007534283056,3.018274647507036,2.1922755949805453,2.980193642642247,4.1923351949594965
26,Regulus_satrapa,1.0822156650795305,-0.9572853247324625,11.086458720977376,-4.568007628122966,8.756893348001359,2.914997016778383,2.272958631226302,2.4128856786048503,4.09499875875779
27,Regulus_regulus,1.4917239377072395,-0.527863010764122,10.899802802400318,-4.718672672907512,8.747882592511397,2.970372510892453,2.1761809416112823,2.407919955780835,4.109180047479547
28,Alauda_razae,1.1187710752067168,-0.4916311949491501,12.62095822735613,-8.490234851837158,8.273763844265652,2.6786899176974943,2.5254469623361278,2.570795195149785,4.22697864833259
29,Certhia_familiaris,1.0383079690173778,-0.46121416489283246,11.879176035520944,-5.924015839894612,8.76135964144099,3.042651492286678,2.1643703590746846,2.340684149712922,4.146950593514307
30,Dendroica_petechia,1.3872200901647198,-0.29529206454753876,11.462145061556733,-6.261905670166016,8.68990053085362,2.9588732363437296,2.226963414755026,2.4661687308110567,4.145857468980951
31,Emberiza_bruniceps,1.5987735491878794,-0.47226076722145083,11.547259279329595,-3.5954089641571043,8.478824049382098,2.872072507540234,2.190441389674977,2.849877528922704,4.112818572398259
32,Emberiza_cirlus,0.9513314588310987,-0.6756353875001272,10.465240443759964,-3.8846232096354165,8.392843725125964,3.001846945487537,2.2183247507190553,2.469025091976659,4.149532385533717
33,Emberiza_striolata,1.2474925421401655,-0.33153122911850613,11.676161226418012,-4.306476314862569,8.466516294979138,2.64561953369707,2.472456364505893,2.753354313402367,4.10682999087804
34,Emberiza_tahapisi,1.7010785300853908,-0.1315528094768524,11.272437230269755,-4.833633613586426,8.42561170611651,2.9450441070550135,2.4108749235752276,2.765285792002557,4.144447165672508
35,Eremophila_bilopha,1.6283646004498842,-0.4084269814193249,11.595131905690037,-2.978034257888794,8.575852439472651,3.2764182348394932,2.410441338047146,2.4285956778062863,4.052954202481568
36,Ficedula_parva,1.2254120761842984,-0.5322027325630188,11.940881096295767,-6.758315849304199,8.363978715821025,2.784402628411075,2.339684755099827,2.867163990681907,4.219793165845699
37,Hippolais_polyglotta,1.1344293133167231,-0.5197000443935395,13.47680429444859,-5.864692687988281,8.296289077331219,2.9001654417065974,2.184920966050533,2.9686957056676486,4.210872917710059
38,Lanius_isabellinus,1.2096630150947645,-0.6726154287656149,10.46433498701463,-5.928758303324382,7.974579103437663,2.584550251067331,2.7539797104575006,2.91327071755737,4.245515264237453
39,Lanius_nubicus,1.379805468223644,-0.45425933599472046,13.89298064938078,-4.927402019500732,8.209972045126745,2.9871140172820367,2.4183136147140076,2.691210278983411,4.159751571284008
40,Locustella_lanceolata,0.7988367109424879,-0.7161269187927246,15.605763260025135,-6.564033031463623,8.79830048792999,3.2931879327589115,2.1536503948732384,2.3452407256417813,4.112720574534761
41,Mniotilta_varia,1.2530151548526716,-0.3853353440761566,11.354954266627928,-6.350830173492431,8.800143541054377,2.9898811054015013,2.204757138327451,2.456910998628378,4.134950524347375
42,Montifringilla_nivalis,1.3259056259988609,-0.4895074665546417,12.50813850028506,-5.381149649620056,8.313038147237505,3.159449099184849,2.146022011875991,2.842762016705704,4.178457527847504
43,Motacilla_cinerea,1.4120854129910967,-0.31144533306360245,10.810806338393375,-6.511976838111877,8.598672952831777,2.5176499519068622,2.49047354595074,2.544164292585044,4.152814561435072
44,Oenanthe_hispanica,1.238822195162604,-0.4347723225752513,10.914261737427514,-4.164442380269368,8.131468808385433,2.899787888830119,2.198592178656549,2.757718926910894,4.193778719786462
45,Oenanthe_leucura,1.072165521027978,-0.6305344601472219,11.2471796631569,-4.953873952229817,8.169564662104294,2.914224022348193,2.1825610619550297,2.7525834113433802,4.2084218982289885
46,Passerella_iliaca,1.859781209810371,-0.594479912519455,10.063009607360465,-5.1589024543762205,8.167589271939525,3.1267938168335774,2.2328275058412403,2.563485815542051,4.1870425774541316
47,Phoenicurus_erythronotus,1.5669073237289548,-0.624477319419384,10.003174787605385,-6.792803168296814,8.133875617140431,2.5892688402853103,2.39811995994738,2.978896269542992,4.2376721671807696
48,Phylloscopus_neglectus,1.2766151562504822,-0.44944537182648975,10.76970524250146,-5.39346718788147,8.36633080259846,2.7183150748396616,2.7694200196341168,2.535180377314512,4.1744804504511395
49,Phylloscopus_orientalis,1.344908002092695,-0.22231622636318207,11.21766655384109,-4.918597030639648,8.53247546521622,2.8502381553381717,2.17084403968003,2.464042084317655,4.1426345237794475
50,Phylloscopus_collybita,1.136498705988801,-0.44409503042697906,12.311741139597753,-7.61755895614624,8.409678759354986,2.9477085758023747,2.2372922167940885,2.461684087105258,4.214288368283841
51,Pinicola_enucleator,0.974535271574237,-0.5558891057968139,10.75569425745679,-8.037336349487305,7.999790448260424,2.7815073391935217,2.197601092104588,2.90029325539424,4.263028623181877
52,Ploceus_cucullatus,1.3392405531738034,-0.716884046792984,14.021479415476211,-4.503947973251343,8.53201975531733,2.9600087954336187,2.4194080657467687,2.806035673599135,4.120193615196051
